Suspicious Path Analysis Log
Scan Time: 2026-06-17 11:04:46.251736
=================================================================

ALL PROCESS PATHS:
-----------------------------------------------------------------
PID:12268 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:12328 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:12340 | UDClientService.exe | Trusted | C:\Windows\System32\drivers\Lenovo\udc\Service\UDClientService.exe
PID:13044 | WmiPrvSE.exe | Trusted | C:\Windows\System32\wbem\WmiPrvSE.exe
PID:13076 | taskhostw.exe | Trusted | C:\Windows\System32\taskhostw.exe
PID:13124 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:13248 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:13300 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:13884 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:14272 | msedgewebview2.exe | Trusted | C:\Program Files (x86)\Microsoft\EdgeWebView\Application\149.0.4022.69\msedgewebview2.exe
PID:14288 | SecurityHealthSystray.exe | Trusted | C:\Windows\System32\SecurityHealthSystray.exe
PID:14296 | msedge.exe | Trusted | C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
PID:14368 | OneDrive.exe | Trusted | C:\Program Files\Microsoft OneDrive\OneDrive.exe
PID:14444 | chrome.exe | Trusted | C:\Program Files\Google\Chrome\Application\chrome.exe
PID:14464 | FileCoAuth.exe | Trusted | C:\Program Files\Microsoft OneDrive\26.095.0519.0003\FileCoAuth.exe
PID:14508 | svchost.exe | Trusted | C:\Windows\System32\svchost.exe
PID:14516 | Code.exe | Unknown | D:\VS CODE\Microsoft VS Code\Code.exe
PID:14556 | LenovoVantage-(VantageCoreAddin).exe | Trusted | C:\Program Files (x86)\Lenovo\VantageService\4.2601.31.0\LenovoVantage-(VantageCoreAddin).exe
PID:14640 | mc-fw-host.exe | Trusted | C:\Program Files\McAfee\wps\1.39.160.1\mc-fw-host.exe
PID:14736 | OfficeClickToRun.exe | Trusted | C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe
PID:14748 | RtkAudUService64.exe | Trusted | C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_9873da36e3c839c5\RtkAudUService64.exe
PID:14800 | conhost.exe | Trusted | C:\Windows\System32\conhost.exe
PID:14868 | explorer.exe | Trusted | C:\Windows\explorer.exe
